iter	Passed	Remaining
0	3	3431
1	6	3334
2	9	3314
3	12	3181
4	16	3194
5	19	3231
6	22	3148
7	25	3120
8	28	3100
9	31	3109
10	34	3086
11	37	3067
12	39	3030
13	44	3143
14	47	3142
15	50	3120
16	54	3150
17	57	3140
18	60	3115
19	63	3106
20	66	3089
21	69	3069
22	74	3157
23	77	3140
24	79	3110
25	81	3069
26	84	3033
27	86	3000
28	88	2964
29	90	2933
30	93	2907
31	95	2881
32	97	2857
33	99	2831
34	102	2813
35	104	2788
36	106	2776
37	108	2759
38	111	2753
39	114	2736
40	116	2719
41	118	2700
42	120	2682
43	122	2668
44	125	2654
45	127	2641
46	129	2623
47	133	2652
48	136	2644
49	138	2630
50	140	2623
51	143	2609
52	145	2594
53	147	2585
54	149	2573
55	151	2559
56	154	2548
57	156	2535
58	158	2528
59	162	2543
60	164	2535
61	166	2523
62	168	2510
63	170	2499
64	173	2488
65	175	2479
66	177	2473
67	179	2460
68	181	2447
69	183	2434
70	184	2420
71	186	2405
72	188	2389
73	190	2379
74	192	2376
75	194	2367
76	196	2360
77	198	2351
78	201	2346
79	203	2337
80	204	2325
81	207	2317
82	208	2300
83	210	2292
84	212	2288
85	214	2279
86	216	2274
87	218	2267
88	220	2259
89	225	2275
90	226	2264
91	227	2250
92	229	2236
93	230	2222
94	232	2210
95	233	2196
96	234	2182
97	235	2169
98	236	2155
99	238	2143
100	239	2132
101	240	2119
102	241	2106
103	242	2092
104	244	2087
105	246	2082
106	249	2081
107	250	2071
108	252	2063
109	254	2060
110	256	2056
111	258	2052
112	261	2050
113	263	2045
114	264	2036
115	266	2028
116	267	2019
117	269	2016
118	271	2008
119	273	2003
120	275	2000
121	277	1995
122	280	2000
123	282	1995
124	284	1989
125	286	1985
126	287	1979
127	290	1977
128	292	1976
129	294	1974
130	297	1970
131	299	1966
132	301	1962
133	303	1958
134	305	1954
135	308	1960
136	311	1959
137	313	1956
138	315	1953
139	317	1947
140	319	1945
141	320	1938
142	323	1935
143	325	1933
144	327	1928
145	328	1920
146	330	1918
